"Mar 30, 2022",TIS-100,Steam Store
"Mar 1, 2022",Cloud Gardens,Gift/Guest Pass
"Feb 16, 2022",To The Moon,Steam Store
"Feb 8, 2022",DiRT Rally 2.0,Steam Store
"Jan 17, 2022","Remove
LIV Client",Complimentary
"Jan 4, 2022",Subnautica: Below Zero,Steam Store
"Dec 28, 2021",Planet Zoo,Steam Store
"Dec 28, 2021",Planet Zoo: Europe Pack,Steam Store
"Dec 28, 2021",Planet Zoo: North America Animal Pack,Steam Store
"Dec 28, 2021",Planet Zoo: Africa Pack,Steam Store
"Dec 28, 2021",Planet Zoo: Southeast Asia Animal Pack,Steam Store
"Dec 28, 2021",Planet Zoo: Aquatic Pack,Steam Store
"Dec 28, 2021",Planet Zoo: Australia Pack,Steam Store
"Dec 28, 2021",Planet Zoo: South America Pack,Steam Store
"Dec 28, 2021",Planet Zoo: Arctic Pack,Steam Store
"Dec 28, 2021",Planet Zoo Deluxe Edition Upgrade Pack,Steam Store
"Dec 26, 2021",Don't Escape: 4 Days to Survive,Steam Store
"Dec 26, 2021",Nature Treks VR,Steam Store
"Dec 26, 2021",Stream Avatars,Steam Store
"Dec 26, 2021",FaceRig,Steam Store
"Dec 4, 2021",Bulb Boy,Steam Store
"Oct 14, 2021",Sea of Solitude,Steam Store
"Sep 16, 2021",Titan Quest Anniversary Edition Limited Free Promotional Package - Sep 2021,Complimentary
"Sep 10, 2021",Rusty Lake: Roots,Steam Store
"Jun 24, 2021",Typer Shark Deluxe,Steam Store
"May 30, 2021",FarSky,Steam Store
"May 20, 2021",Donut County,Steam Store
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town - Chicken Costume,Gift/Guest Pass
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town - Chick Costume,Gift/Guest Pass
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town - Dog Costume,Gift/Guest Pass
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town - Cow Costume,Gift/Guest Pass
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town - Sheep Costume,Gift/Guest Pass
"Jan 2, 2021",STORY OF SEASONS: Friends of Mineral Town,Gift/Guest Pass
"Jan 1, 2021",Subnautica,Gift/Guest Pass
"Dec 24, 2020",Don't Starve: Hamlet,Steam Store
"Dec 24, 2020",Don't Starve - Shipwrecked,Steam Store
"Oct 4, 2020",Among Us,Steam Store
"Aug 21, 2020","Remove
DCS World",Complimentary
"Aug 12, 2020","Remove
Aim Lab - Free",Complimentary
"Jun 30, 2020",7 Days to Die,Gift/Guest Pass
"May 20, 2020","Remove
Crucible",Complimentary
"Feb 1, 2020",Pummel Party,Gift/Guest Pass
"Jan 4, 2020","Remove
In the Darkness of the Sea",Complimentary
"Dec 18, 2019",Cat Lady for Beta Testing,Retail
"Nov 27, 2019","Remove
Toy Robot",Complimentary
"Jun 26, 2019",Pacify,Gift/Guest Pass
"Jun 9, 2019","Remove
Life is Strange Episode 1",Complimentary
"May 26, 2019","Remove
Splitgate",Complimentary
"May 25, 2019","Remove
Steambirds Alliance Open Beta",Complimentary
"Apr 23, 2019",The World Next Door,Retail
"Apr 12, 2019",Risk of Rain 2,Gift/Guest Pass
"Mar 8, 2019",The Jackbox Party Pack 2,Retail
"Mar 8, 2019","Remove
Slapshot",Complimentary
"Oct 30, 2018",Shelter 2,Steam Store
"May 21, 2018",Star Wars: Shadows of the Empire,Gift/Guest Pass
"May 10, 2017",STAR WARS - Galactic Battlegrounds Saga,Gift/Guest Pass
"May 10, 2017",Starwars Republic Commando,Gift/Guest Pass
"Dec 25, 2016",Darkwood,Gift/Guest Pass
"Dec 25, 2016",Plague Inc: Evolved,Gift/Guest Pass
"Dec 25, 2016",Octodad: Dadliest Catch,Gift/Guest Pass
"Dec 25, 2016",The Wolf Among Us,Steam Store
"Dec 13, 2016",Just Cause 3 XL,Steam Store
"Oct 25, 2016",The Elder Scrolls V: Skyrim Special Edition Upgrade,Complimentary
"Jul 2, 2016",Stardew Valley,Gift/Guest Pass
"Nov 22, 2015",Dragon Age: Origins - Ultimate Edition,Steam Store
"Oct 14, 2015","Remove
The Universim Demo",Complimentary
"Jul 13, 2015",ARK: Survival Evolved,Steam Store
"Jul 4, 2015","Remove
InMind",Complimentary
"Jun 13, 2015",Prison Architect Name in Game,Steam Store
"May 22, 2015",Teddy Floppy Ear - Mountain Adventure,Steam Store
"Apr 13, 2015",Robotex,Steam Store
"Apr 13, 2015",Brothers - A Tale of Two Sons,Steam Store
"Mar 21, 2015",BioShock 2,Steam Store
"Mar 14, 2015",Assassin's Creed Liberation Release,Steam Store
"Mar 14, 2015",Don't Starve Together Frontier Pack,Steam Store
"Jan 31, 2015","Remove
Among Ripples",Complimentary
"Nov 25, 2014","Remove
Everlasting Summer / Бесконечное Лето",Complimentary
"Nov 21, 2014",Armello for Alpha Testing,Retail
"Jun 28, 2014",Grand Theft Auto IV: Complete Edition,Steam Store
"Jun 27, 2014",Age of Mythology EX 4-Pack,Steam Store
"Jun 24, 2014","Star Wars: Battlefront 2 (Classic, 2005)",Steam Store
"Jun 24, 2014",Syberia Collection,Steam Store
"Jun 23, 2014",Awesomenauts 3 pack,Steam Store
"Jun 20, 2014",Age of Empires II Gift,Gift/Guest Pass
"Jun 20, 2014",ORION: Prelude 4-Pack,Steam Store
"Jun 18, 2014",Farm for your Life,Steam Store
"Apr 20, 2014",Star Wars: KOTOR,Gift/Guest Pass
"Apr 16, 2014",Adventure Time Steam Store and Retail Key,Steam Store
"Apr 7, 2014",Evoland,Steam Store
"Apr 2, 2014",Don't Starve - Reign of Giants,Steam Store
"Apr 1, 2014",Goat Simulator,Gift/Guest Pass
"Jan 2, 2014",Tomb Raider 1939 Multiplayer Map Pack,Steam Store
"Jan 2, 2014",Tomb Raider: Agility Skill,Steam Store
"Jan 2, 2014",Tomb Raider: Animal Instinct,Steam Store
"Jan 2, 2014",Tomb Raider Caves and Cliffs Multiplayer Map Pack,Steam Store
"Jan 2, 2014",Tomb Raider: Sure-Shot Skin,Steam Store
"Jan 2, 2014",Tomb Raider Mountaineer Skin,Steam Store
"Jan 2, 2014",Tomb Raider: Demolition Skin,Steam Store
"Jan 2, 2014",Tomb Raider Shipwrecked Multiplayer Map Pack,Steam Store
"Jan 2, 2014",Tomb Raider Scavenger Executioner,Steam Store
"Jan 2, 2014",Tomb Raider: Shanty Town,Steam Store
"Jan 2, 2014",Tomb Raider: Aviatrix Skin,Steam Store
"Jan 2, 2014",Tomb Raider: Headshot Reticle,Steam Store
"Jan 2, 2014",Tomb Raider: Fisherman,Steam Store
"Jan 2, 2014",Tomb Raider: STG 58 Elite,Steam Store
"Jan 2, 2014",Tomb Raider: M590 12ga,Steam Store
"Jan 2, 2014",Tomb Raider: JAGD P22G,Steam Store
"Jan 2, 2014",Tomb Raider: Tomb of Lost Adventurer,Steam Store
"Jan 2, 2014",Tomb Raider: Hunter Skin,Steam Store
"Jan 2, 2014",Tomb Raider: Pistol Silencer,Steam Store
"Jan 2, 2014",Tomb Raider: Pistol Burst,Steam Store
"Jan 2, 2014",Tomb Raider: Scavenger Scout,Steam Store
"Jan 2, 2014",Tomb Raider: Scavenger Bandit,Steam Store
"Jan 2, 2014",Tomb Raider: Survival Edition ROW,Steam Store
"Dec 30, 2013",Fallout: New Vegas,Steam Store
"Dec 25, 2013",FINAL FANTASY VIII,Gift/Guest Pass
"Dec 22, 2013",Machinarium,Steam Store
"Dec 22, 2013",Deponia,Steam Store
"Dec 20, 2013",Hospital Tycoon,Gift/Guest Pass
"Dec 20, 2013",Hard Reset Extended edition,Steam Store
"Dec 20, 2013",FEZ,Steam Store
"Dec 20, 2013",Mirror's Edge,Steam Store
"Dec 20, 2013",FTL: Faster Than Light,Steam Store
"Dec 19, 2013",Sid Meier's Civilization V: Brave New World,Steam Store
"Nov 8, 2013",The Final Hours of Portal 2,Steam Store
"Nov 8, 2013",Portal + Portal 2,Steam Store
"Oct 26, 2013",System Shock 2,Steam Store
"Oct 15, 2013",Terraria 4-Pack,Steam Store
"Oct 4, 2013",XCOM: Enemy Unknown: Slingshot DLC,Steam Store
"Oct 4, 2013",XCOM: Enemy Unknown - Elite Soldier Pack WW,Steam Store
"Oct 4, 2013",XCOM Enemy Unknown (ROW),Steam Store
"Oct 3, 2013",Final Fantasy VII,Gift/Guest Pass
"Oct 1, 2013",Reus,Steam Store
"Sep 19, 2013",Monkey Island Complete Pack,Steam Store
"Sep 19, 2013",Gunpoint,Steam Store
"Sep 19, 2013",Age of Booty,Steam Store
"Sep 19, 2013",Sid Meier's Pirates!,Steam Store
"Sep 1, 2013",Anodyne,Steam Store
"Sep 1, 2013",Euro Truck Simulator,Steam Store
"Aug 31, 2013","Papers, Please",Steam Store
"Aug 31, 2013",Shelter 1,Steam Store
"Aug 31, 2013",Surgeon Simulator,Steam Store
"Jul 22, 2013",Star Wars: Knights of the Old Republic II,Steam Store
"Jul 20, 2013",Worms Revolution Gift,Gift/Guest Pass
"Jul 19, 2013",Monaco 4-Pack,Steam Store
"Jul 19, 2013",Elder Scrolls V: Skyrim Legendary,Steam Store
"Jul 19, 2013",Organ Trail: Director's Cut,Steam Store
"Jul 17, 2013",Bioshock,Gift/Guest Pass
"Jul 14, 2013",Torchlight II 4-pack,Steam Store
"Jul 13, 2013",Universe Sandbox Legacy,Steam Store
"Jul 12, 2013",BioShock Infinite - Columbia's Finest Package,Steam Store
"Jul 12, 2013",Bioshock Infinite (WW),Steam Store
"Jul 12, 2013",Just Cause 2 DLC - Monster Truck,Steam Store
"Jul 12, 2013",Just Cause 2 DLC - Agency Hovercraft,Steam Store
"Jul 12, 2013",Just Cause 2 DLC - Rico's Signature Gun,Steam Store
"Jul 12, 2013",Just Cause 2 DLC - Chevalier Classic,Steam Store
"Jul 12, 2013",Just Cause 2 DLC - Bull's Eye Assault Rifle,Steam Store
"Jul 12, 2013",Just Cause 2 Black Market Boom Pack,Steam Store
"Jul 12, 2013",Just Cause 2 DLC: Black Market Aerial Pack,Steam Store
"Jul 12, 2013",Audiosurf,Steam Store
"Jul 11, 2013",Counter-Strike: Global Offensive,Steam Store
"Jun 9, 2013",Sid Meier's Civilization V: Gold,Steam Store
"May 2, 2013",Don't Starve 2-Pack,Steam Store
"Apr 23, 2013",Condition Zero,Steam Store
"Mar 28, 2013",Just Cause 2,Steam Store
"Jan 13, 2013",Lunar Flight,Steam Store
"Dec 23, 2005",AMD Bundle,Complimentary